PriceGroup,WidthInches,HeightInches,Price
1,24,36,68.88
1,30,36,79.38
1,36,36,90.30
1,42,36,102.48
1,48,36,112.98
1,54,36,126.84
1,60,36,138.18
1,66,36,149.94
1,72,36,162.54
1,84,36,188.16
1,96,36,213.36
1,24,42,73.92
1,30,42,86.10
1,36,42,98.28
1,42,42,112.56
1,48,42,124.32
1,54,42,138.60
1,60,42,153.30
1,66,42,166.32
1,72,42,179.76
1,84,42,208.32
1,96,42,236.04
1,24,48,78.96
1,30,48,92.40
1,36,48,105.84
1,42,48,120.96
1,48,48,133.98
1,54,48,151.20
1,60,48,165.06
1,66,48,180.60
1,72,48,196.14
1,84,48,226.80
1,96,48,257.04
1,24,54,86.10
1,30,54,101.22
1,36,54,116.34
1,42,54,132.30
1,48,54,147.00
1,54,54,165.06
1,60,54,181.02
1,66,54,199.50
1,72,54,215.46
1,84,54,249.06
1,96,54,282.24
1,24,60,93.24
1,30,60,108.36
1,36,60,126.42
1,42,60,143.22
1,48,60,158.76
1,54,60,178.50
1,60,60,196.14
1,66,60,215.04
1,72,60,232.68
1,84,60,269.64
1,96,60,305.34
1,24,66,100.38
1,30,66,116.76
1,36,66,135.24
1,42,66,153.72
1,48,66,171.78
1,54,66,192.36
1,60,66,210.42
1,66,66,231.00
1,72,66,250.32
1,84,66,289.80
1,96,66,330.12
1,24,72,106.26
1,30,72,123.90
1,36,72,144.06
1,42,72,164.64
1,48,72,183.54
1,54,72,205.38
1,60,72,226.38
1,66,72,247.80
1,72,72,268.38
1,84,72,310.80
1,96,72,354.06
1,24,78,111.72
1,30,78,132.30
1,36,78,152.46
1,42,78,173.46
1,48,78,196.14
1,54,78,217.98
1,60,78,241.08
1,66,78,263.76
1,72,78,286.86
1,84,78,331.38
1,96,78,376.32
1,24,84,116.34
1,30,84,137.76
1,36,84,160.44
1,42,84,183.54
1,48,84,206.22
1,54,84,229.32
1,60,84,253.26
1,66,84,277.62
1,72,84,300.72
1,84,84,347.34
1,96,84,396.06
1,24,90,121.80
1,30,90,144.90
1,36,90,168.42
1,42,90,192.36
1,48,90,216.72
1,54,90,242.34
1,60,90,266.70
1,66,90,292.74
1,72,90,319.20
1,84,90,368.76
1,96,90,418.32
1,24,96,127.26
1,30,96,151.62
1,36,96,175.98
1,42,96,200.76
1,48,96,226.80
1,54,96,253.26
1,60,96,280.14
1,66,96,306.60
1,72,96,333.06
1,84,96,385.98
1,96,96,439.32
2,24,36,94.08
2,30,36,107.94
2,36,36,123.06
2,42,36,137.34
2,48,36,151.62
2,54,36,168.42
2,60,36,183.96
2,66,36,199.92
2,72,36,216.72
2,84,36,249.06
2,96,36,283.08
2,24,42,103.74
2,30,42,117.18
2,36,42,134.40
2,42,42,152.04
2,48,42,168.00
2,54,42,188.16
2,60,42,204.54
2,66,42,222.18
2,72,42,240.66
2,84,42,278.88
2,96,42,316.26
2,24,48,111.72
2,30,48,128.52
2,36,48,148.26
2,42,48,168.00
2,48,48,186.06
2,54,48,207.90
2,60,48,227.22
2,66,48,249.48
2,72,48,270.48
2,84,48,312.06
2,96,48,355.32
2,24,54,121.80
2,30,54,139.86
2,36,54,161.28
2,42,54,183.96
2,48,54,204.96
2,54,54,227.64
2,60,54,250.32
2,66,54,274.26
2,72,54,296.52
2,84,54,343.14
2,96,54,391.02
2,24,60,133.98
2,30,60,150.36
2,36,60,174.30
2,42,60,199.08
2,48,60,220.50
2,54,60,246.96
2,60,60,270.06
2,66,60,296.94
2,72,60,321.72
2,84,60,372.96
2,96,60,423.78
2,24,66,141.96
2,30,66,160.44
2,36,66,186.48
2,42,66,212.10
2,48,66,237.30
2,54,66,265.44
2,60,66,290.64
2,66,66,319.20
2,72,66,346.08
2,84,66,400.68
2,96,66,456.12
2,24,72,151.62
2,30,72,173.88
2,36,72,202.86
2,42,72,230.58
2,48,72,257.88
2,54,72,288.12
2,60,72,316.26
2,66,72,347.34
2,72,72,376.32
2,84,72,436.80
2,96,72,498.12
2,24,78,160.02
2,30,78,183.54
2,36,78,214.62
2,42,78,244.86
2,48,78,275.52
2,54,78,306.60
2,60,78,337.68
2,66,78,370.44
2,72,78,401.10
2,84,78,465.36
2,96,78,530.46
2,24,84,167.58
2,30,84,193.20
2,36,84,226.38
2,42,84,259.14
2,48,84,289.38
2,54,84,324.24
2,60,84,356.16
2,66,84,392.28
2,72,84,424.62
2,84,84,494.76
2,96,84,562.38
2,24,90,176.82
2,30,90,206.22
2,36,90,240.66
2,42,90,275.52
2,48,90,309.54
2,54,90,346.08
2,60,90,380.52
2,66,90,418.32
2,72,90,454.86
2,84,90,528.36
2,96,90,601.44
2,24,96,183.54
2,30,96,215.46
2,36,96,252.00
2,42,96,288.96
2,48,96,324.66
2,54,96,363.72
2,60,96,400.26
2,66,96,439.74
2,72,96,478.38
2,84,96,554.82
2,96,96,634.20
3,24,36,91.56
3,30,36,105.00
3,36,36,119.70
3,42,36,133.56
3,48,36,147.42
3,54,36,163.38
3,60,36,178.50
3,66,36,194.04
3,72,36,210.42
3,84,36,241.92
3,96,36,274.68
3,24,42,100.80
3,30,42,113.82
3,36,42,130.62
3,42,42,147.84
3,48,42,162.96
3,54,42,182.70
3,60,42,198.66
3,66,42,215.88
3,72,42,233.52
3,84,42,270.90
3,96,42,307.02
3,24,48,108.78
3,30,48,124.74
3,36,48,144.06
3,42,48,162.96
3,48,48,180.60
3,54,48,202.02
3,60,48,220.50
3,66,48,242.34
3,72,48,262.50
3,84,48,302.82
3,96,48,344.82
3,24,54,118.44
3,30,54,136.08
3,36,54,156.66
3,42,54,178.50
3,48,54,199.08
3,54,54,220.92
3,60,54,243.18
3,66,54,266.28
3,72,54,287.70
3,84,54,333.06
3,96,54,379.68
3,24,60,130.20
3,30,60,146.16
3,36,60,169.26
3,42,60,193.20
3,48,60,214.20
3,54,60,239.82
3,60,60,262.08
3,66,60,288.12
3,72,60,312.48
3,84,60,362.04
3,96,60,411.18
3,24,66,137.76
3,30,66,155.82
3,36,66,181.02
3,42,66,205.80
3,48,66,230.58
3,54,66,257.88
3,60,66,282.24
3,66,66,309.96
3,72,66,336.00
3,84,66,388.92
3,96,66,442.68
3,24,72,147.42
3,30,72,168.84
3,36,72,196.98
3,42,72,223.86
3,48,72,250.32
3,54,72,279.72
3,60,72,307.02
3,66,72,337.26
3,72,72,365.40
3,84,72,423.78
3,96,72,483.42
3,24,78,155.40
3,30,78,178.08
3,36,78,208.32
3,42,78,237.72
3,48,78,267.54
3,54,78,297.78
3,60,78,327.60
3,66,78,359.52
3,72,78,389.34
3,84,78,451.50
3,96,78,514.92
3,24,84,162.96
3,30,84,187.74
3,36,84,219.66
3,42,84,251.58
3,48,84,280.98
3,54,84,314.58
3,60,84,345.66
3,66,84,380.52
3,72,84,412.02
3,84,84,480.06
3,96,84,545.58
3,24,90,171.78
3,30,90,200.34
3,36,90,233.52
3,42,90,267.54
3,48,90,300.30
3,54,90,336.00
3,60,90,369.18
3,66,90,406.14
3,72,90,441.42
3,84,90,512.82
3,96,90,583.80
3,24,96,178.08
3,30,96,209.16
3,36,96,244.44
3,42,96,280.56
3,48,96,315.00
3,54,96,353.22
3,60,96,388.50
3,66,96,426.72
3,72,96,464.10
3,84,96,538.44
3,96,96,615.30
4,24,36,126.42
4,30,36,144.90
4,36,36,165.90
4,42,36,188.16
4,48,36,207.90
4,54,36,231.84
4,60,36,253.68
4,66,36,274.68
4,72,36,298.20
4,84,36,345.66
4,96,36,391.02
4,24,42,136.08
4,30,42,157.50
4,36,42,181.02
4,42,42,207.48
4,48,42,228.48
4,54,42,255.36
